"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
672954,"Sains Data","L","Smartphone","Praktik","Cukup","Sedang",4.5,"ADK1-070181AE"
863695,"Sains Data","L","Smartphone","Diskusi","Puas","Tinggi",12.9,"ADK1-070181AE"
907715,"Sains Data","P","Smartphone","Praktik","Sangat Puas","Tinggi",8.4,"ADK1-070181AE"
674081,"Sistem Informasi","L","Laptop","Diskusi","Sangat Puas","Sedang",9.3,"ADK1-070181AE"
420126,"Matematika","P","Laptop","Video","Sangat Puas","Sedang",8.3,"ADK1-070181AE"
468007,"Sains Data","P","Smartphone","Video","Cukup","Tinggi",14.8,"ADK1-070181AE"
128366,"Sains Data","P","Laptop","Diskusi","Puas","Sedang",9.3,"ADK1-070181AE"
461195,"Matematika","L","Smartphone","Praktik","Puas","Tinggi",10.7,"ADK1-070181AE"
331246,"Sistem Informasi","L","Smartphone","Praktik","Tidak Puas","Rendah",4.6,"ADK1-070181AE"
293124,"Sains Data","P","Laptop","Buku","Tidak Puas","Rendah",7,"ADK1-070181AE"
523948,"Matematika","P","Laptop","Diskusi","Cukup","Tinggi",10.2,"ADK1-070181AE"
173063,"Sains Aktuaria","P","Tablet","Video","Cukup","Rendah",5.8,"ADK1-070181AE"
912730,"Matematika","P","Smartphone","Praktik","Cukup","Rendah",,"ADK1-070181AE"
816590,"Sistem Informasi","L","Smartphone","Diskusi","Sangat Puas","Tinggi",9.6,"ADK1-070181AE"
532059,"Sains Aktuaria","L","Smartphone","Video","Tidak Puas","Sedang",7.3,"ADK1-070181AE"
212518,"Sains Data","P","Tablet","Praktik","Cukup","Sedang",5.4,"ADK1-070181AE"
593152,"Sistem Informasi","L","Laptop","Praktik","Puas","Tinggi",10.4,"ADK1-070181AE"
376905,"Sains Data","L","Tablet","Video","Puas","Tinggi",11.1,"ADK1-070181AE"
637256,"Sains Data","P","Laptop","Buku","Puas","Sedang",8.5,"ADK1-070181AE"
167777,"Sistem Informasi","L","Smartphone","Diskusi","Puas","Rendah",5.4,"ADK1-070181AE"
999430,"Sains Data","P","Tablet","Buku","Puas","Rendah",5.8,"ADK1-070181AE"
798761,"Sains Aktuaria","L","Tablet","Video","Puas","Rendah",6,"ADK1-070181AE"
224452,"Matematika","L","Tablet","Praktik","Puas","Sedang",7.3,"ADK1-070181AE"
248153,"Matematika","L","Smartphone","Diskusi","Cukup","Sedang",8.7,"ADK1-070181AE"
746305,"Sains Aktuaria","P","Laptop","Diskusi","Puas","Sedang",4.5,"ADK1-070181AE"
617283,"Matematika","L","Laptop","Praktik","Sangat Puas","Sedang",3.4,"ADK1-070181AE"
172012,"Sains Data","L","Smartphone","Diskusi","Tidak Puas","Rendah",3.5,"ADK1-070181AE"
251350,"Matematika","L","Tablet","Praktik","Puas","Tinggi",12.8,"ADK1-070181AE"
925445,"Sistem Informasi","P","Smartphone","Diskusi","Sangat Puas","Tinggi",9.1,"ADK1-070181AE"
863387,"Sains Aktuaria","L","Smartphone","Diskusi","Cukup","Rendah",6.4,"ADK1-070181AE"
906147,"Sistem Informasi","L","Tablet","Praktik","Puas","Tinggi",12,"ADK1-070181AE"
296287,"Sistem Informasi","L","Tablet","Diskusi","Sangat Puas","Tinggi",10.3,"ADK1-070181AE"
786681,"Sains Data","L","Tablet","Video","Cukup","Sedang",7.2,"ADK1-070181AE"
141644,"Matematika","L","Tablet","Diskusi","Sangat Puas","Tinggi",10.3,"ADK1-070181AE"
256119,"Sistem Informasi","L","Smartphone","Praktik","Cukup","Rendah",2.7,"ADK1-070181AE"
996435,"Matematika","P","Tablet","Buku","Sangat Puas","Sedang",8,"ADK1-070181AE"
777995,"Sains Aktuaria","P","Laptop","Diskusi","Puas","Tinggi",12.7,"ADK1-070181AE"
720649,"Sistem Informasi","P","Tablet","Video","Sangat Puas","Sedang",11.5,"ADK1-070181AE"
230589,"Sains Aktuaria","P","Tablet","Video","Puas","Tinggi",11.6,"ADK1-070181AE"
158667,"Matematika","L","Smartphone","Buku","Cukup","Sedang",7.5,"ADK1-070181AE"
742183,"Sains Data","L","Tablet","Praktik","Cukup","Tinggi",10.3,"ADK1-070181AE"
426156,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Rendah",5.6,"ADK1-070181AE"
631589,"Sistem Informasi","L","Tablet","Praktik","Sangat Puas","Tinggi",8.9,"ADK1-070181AE"
877550,"Matematika","P","Laptop","Praktik","Puas","Rendah",5.5,"ADK1-070181AE"
151670,"Sains Data","L","Tablet","Buku","Tidak Puas","Rendah",2,"ADK1-070181AE"
565070,"Sains Data","L","Tablet","Video","Puas","Tinggi",11.2,"ADK1-070181AE"
620616,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Tinggi",8.1,"ADK1-070181AE"
601225,"Sains Aktuaria","P","Smartphone","Diskusi",,"Sedang",6.4,"ADK1-070181AE"
752623,"Sains Data","L","Smartphone","Video","Sangat Puas","Tinggi",8.2,"ADK1-070181AE"
816048,"Matematika","P","Smartphone","Video","Sangat Puas","Tinggi",13.4,"ADK1-070181AE"
192932,"Sains Aktuaria","L","Laptop","Video","Sangat Puas","Sedang",5.9,"ADK1-070181AE"
257851,"Sains Aktuaria","L","Tablet","Diskusi","Puas","Rendah",1.8,"ADK1-070181AE"
393718,"Sistem Informasi","P","Smartphone","Diskusi","Puas","Sedang",4.3,"ADK1-070181AE"
307778,"Matematika","P","Laptop","Buku","Puas","Rendah",5,"ADK1-070181AE"
834946,"Matematika","P","Tablet","Buku","Sangat Puas","Sedang",8.1,"ADK1-070181AE"
147535,"Matematika","L","Tablet","Video","Puas","Sedang",9.6,"ADK1-070181AE"
140126,"Sistem Informasi","L","Smartphone","Diskusi","Sangat Puas","Tinggi",9.1,"ADK1-070181AE"
518343,"Sains Aktuaria","L","Tablet","Praktik","Tidak Puas","Tinggi",9.8,"ADK1-070181AE"
128733,"Sains Data","L","Tablet","Video","Sangat Puas","Sedang",3.7,"ADK1-070181AE"
909558,"Matematika","P","Smartphone","Video","Sangat Puas","Tinggi",9.4,"ADK1-070181AE"
255421,"Sains Aktuaria","L","Tablet","Diskusi","Puas","Tinggi",11.6,"ADK1-070181AE"
227408,"Matematika","P","Smartphone","Video","Tidak Puas","Rendah",2.7,"ADK1-070181AE"
399803,"Sistem Informasi","L","Smartphone","Video","Cukup","Tinggi",7.6,"ADK1-070181AE"
872113,"Sains Data","P","Laptop","Diskusi","Cukup","Sedang",7.5,"ADK1-070181AE"
221547,"Sains Aktuaria","P","Smartphone","Buku","Sangat Puas","Tinggi",10,"ADK1-070181AE"
107508,"Matematika","P","Laptop","Buku","Puas","Tinggi",8.5,"ADK1-070181AE"
978971,"Matematika","P","Laptop","Video","Sangat Puas","Rendah",8,"ADK1-070181AE"
180396,"Sains Data","P","Tablet","Praktik","Cukup","Sedang",6.6,"ADK1-070181AE"
599718,"Matematika","P","Tablet","Video","Sangat Puas","Rendah",3.7,"ADK1-070181AE"
211550,"Sistem Informasi","L","Tablet","Buku","Sangat Puas","Tinggi",9.5,"ADK1-070181AE"
932432,"Matematika","P","Laptop","Praktik","Sangat Puas","Sedang",7.2,"ADK1-070181AE"
745197,"Matematika","L","Smartphone","Praktik","Puas","Tinggi",13.3,"ADK1-070181AE"
342211,"Matematika","P","Laptop","Video","Sangat Puas","Tinggi",6.8,"ADK1-070181AE"
661080,"Sistem Informasi","P","Tablet","Video","Sangat Puas","Tinggi",14,"ADK1-070181AE"
436796,"Sistem Informasi","P","Smartphone","Buku","Tidak Puas","Sedang",9.8,"ADK1-070181AE"
597220,"Sains Aktuaria","L","Laptop","Praktik","Tidak Puas","Tinggi",7.9,"ADK1-070181AE"
209166,"Sistem Informasi","P","Tablet","Praktik","Cukup","Tinggi",10.3,"ADK1-070181AE"
362377,"Matematika","P","Tablet","Praktik","Sangat Puas","Sedang",6.1,"ADK1-070181AE"
